District,Polling Station Number,Conservative,Green Party,Liberal,N.D.P.,Conservative (%),Green Party (%),Liberal (%),N.D.P. (%),Other (%)
13001,1,22,2,62,76,13.33,1.21,37.58,46.06,1.82
13001,10,44,4,66,115,18.88,1.72,28.33,49.36,1.72
13001,100,22,2,58,73,14.1,1.28,37.18,46.79,0.64
13001,101,46,5,86,124,17.56,1.91,32.82,47.33,0.38
13001,102,37,4,75,108,16.37,1.77,33.19,47.79,0.88
13001,103,54,4,95,119,19.29,1.43,33.93,42.5,2.86
13001,104,37,6,89,119,14.62,2.37,35.18,47.04,0.79
13001,105,26,0,48,115,13.68,0.0,25.26,60.53,0.53
13001,106,33,1,73,109,15.14,0.46,33.49,50.0,0.92
13001,107,17,0,38,141,8.63,0.0,19.29,71.57,0.51
13001,108,47,0,68,111,20.52,0.0,29.69,48.47,1.31
13001,109,38,0,41,103,20.21,0.0,21.81,54.79,3.19
13001,11,21,2,51,116,10.88,1.04,26.42,60.1,1.55
13001,110,49,4,125,225,12.07,0.99,30.79,55.42,0.74
13001,111,43,2,69,147,16.35,0.76,26.24,55.89,0.76
13001,112,49,0,23,38,44.55,0.0,20.91,34.55,0.0
13001,113,97,2,85,88,35.14,0.72,30.8,31.88,1.45
13001,114,65,2,57,84,31.25,0.96,27.4,40.38,0.0
13001,115,67,2,51,90,31.75,0.95,24.17,42.65,0.47
13001,116,56,1,39,77,32.0,0.57,22.29,44.0,1.14
13001,117,49,0,54,77,26.63,0.0,29.35,41.85,2.17
13001,118,58,4,26,81,33.92,2.34,15.2,47.37,1.17
13001,119,44,5,61,113,19.56,2.22,27.11,50.22,0.89
13001,12,25,3,76,162,9.26,1.11,28.15,60.0,1.48
13001,120,40,1,32,56,30.77,0.77,24.62,43.08,0.77
13001,121,36,1,30,95,21.95,0.61,18.29,57.93,1.22
13001,122,61,4,34,67,35.88,2.35,20.0,39.41,2.35
13001,123,50,0,39,91,27.62,0.0,21.55,50.28,0.55
13001,124,52,2,45,69,30.77,1.18,26.63,40.83,0.59
13001,125,65,2,48,141,25.29,0.78,18.68,54.86,0.39
13001,126,60,2,28,76,35.93,1.2,16.77,45.51,0.6
13001,127,7,0,19,26,13.46,0.0,36.54,50.0,0.0
13001,128,30,3,15,54,29.13,2.91,14.56,52.43,0.97
13001,129,57,3,49,122,24.57,1.29,21.12,52.59,0.43
13001,13,28,4,41,139,12.79,1.83,18.72,63.47,3.2
13001,130,112,4,57,101,40.73,1.45,20.73,36.73,0.36
13001,131,32,2,35,50,26.23,1.64,28.69,40.98,2.46
13001,132,69,6,48,97,31.08,2.7,21.62,43.69,0.9
13001,133,47,4,47,86,25.41,2.16,25.41,46.49,0.54
13001,134,64,3,42,76,34.22,1.6,22.46,40.64,1.07
13001,135,124,6,59,103,42.47,2.05,20.21,35.27,0.0
13001,136,57,6,90,153,18.51,1.95,29.22,49.68,0.65
13001,137,40,3,58,74,22.73,1.7,32.95,42.05,0.57
13001,138,84,2,39,50,47.73,1.14,22.16,28.41,0.57
13001,139,52,2,47,63,31.71,1.22,28.66,38.41,0.0
13001,14,43,4,77,132,16.41,1.53,29.39,50.38,2.29
13001,140,69,4,41,64,38.12,2.21,22.65,35.36,1.66
13001,141,64,1,25,136,27.95,0.44,10.92,59.39,1.31
13001,142,44,1,31,103,24.31,0.55,17.13,56.91,1.1
13001,143,55,0,52,122,23.71,0.0,22.41,52.59,1.29
13001,144,23,2,88,150,8.68,0.75,33.21,56.6,0.75
13001,145,22,0,34,91,14.67,0.0,22.67,60.67,2.0
13001,146,27,5,58,120,12.74,2.36,27.36,56.6,0.94
13001,147,18,2,41,146,8.53,0.95,19.43,69.19,1.9
13001,148,53,4,51,138,21.46,1.62,20.65,55.87,0.4
13001,149,51,2,46,67,30.54,1.2,27.54,40.12,0.6
13001,15,51,6,101,137,16.89,1.99,33.44,45.36,2.32
13001,150,27,2,20,88,19.42,1.44,14.39,63.31,1.44
13001,151,32,2,42,152,13.91,0.87,18.26,66.09,0.87
13001,152,28,2,40,144,12.96,0.93,18.52,66.67,0.93
13001,153,47,0,46,164,18.22,0.0,17.83,63.57,0.39
13001,154,38,2,57,144,15.77,0.83,23.65,59.75,0.0
13001,155,33,1,59,170,12.45,0.38,22.26,64.15,0.75
13001,156,28,5,63,248,8.02,1.43,18.05,71.06,1.43
13001,157,20,0,9,86,17.39,0.0,7.83,74.78,0.0
13001,158,18,3,70,97,9.52,1.59,37.04,51.32,0.53
13001,159,22,2,38,179,9.13,0.83,15.77,74.27,0.0
13001,16,20,3,57,101,10.93,1.64,31.15,55.19,1.09
13001,160,16,0,31,89,11.59,0.0,22.46,64.49,1.45
13001,161,27,2,39,170,11.25,0.83,16.25,70.83,0.83
13001,162,38,1,45,96,20.99,0.55,24.86,53.04,0.55
13001,163,19,2,51,84,12.18,1.28,32.69,53.85,0.0
13001,164,26,4,35,85,17.11,2.63,23.03,55.92,1.32
13001,165,22,0,26,93,15.49,0.0,18.31,65.49,0.7
13001,166,45,5,46,120,20.55,2.28,21.0,54.79,1.37
13001,167,28,3,34,98,17.18,1.84,20.86,60.12,0.0
13001,168,35,2,57,356,7.74,0.44,12.61,78.76,0.44
13001,169,38,3,69,101,17.76,1.4,32.24,47.2,1.4
13001,17,17,0,42,81,11.97,0.0,29.58,57.04,1.41
13001,170,38,2,63,120,16.96,0.89,28.12,53.57,0.45
13001,171,90,7,136,290,17.08,1.33,25.81,55.03,0.76
13001,172,28,5,47,99,15.47,2.76,25.97,54.7,1.1
13001,173,50,1,67,107,22.22,0.44,29.78,47.56,0.0
13001,174,42,4,67,117,18.1,1.72,28.88,50.43,0.86
13001,175,39,4,56,161,14.89,1.53,21.37,61.45,0.76
13001,176,15,3,28,44,16.67,3.33,31.11,48.89,0.0
13001,177,67,2,119,294,13.73,0.41,24.39,60.25,1.23
13001,178,41,5,60,88,20.81,2.54,30.46,44.67,1.52
13001,179,45,3,56,117,20.0,1.33,24.89,52.0,1.78
13001,18,29,3,67,126,12.78,1.32,29.52,55.51,0.88
13001,180,29,12,71,157,10.78,4.46,26.39,58.36,0.0
13001,181,44,5,114,172,13.06,1.48,33.83,51.04,0.59
13001,182,29,4,69,96,14.65,2.02,34.85,48.48,0.0
13001,183,28,3,93,232,7.82,0.84,25.98,64.8,0.56
13001,184,16,6,71,160,6.25,2.34,27.73,62.5,1.17
13001,185,24,2,59,147,10.26,0.85,25.21,62.82,0.85
13001,186,40,3,57,87,21.39,1.6,30.48,46.52,0.0
13001,187,51,7,52,77,26.98,3.7,27.51,40.74,1.06
13001,188,40,2,49,77,23.53,1.18,28.82,45.29,1.18
13001,189,50,9,44,80,27.32,4.92,24.04,43.72,0.0
13001,19,44,6,86,108,17.74,2.42,34.68,43.55,1.61
13001,190,35,0,56,79,20.47,0.0,32.75,46.2,0.58
13001,191,77,5,71,106,29.28,1.9,27.0,40.3,1.52
13001,192,64,7,78,106,25.0,2.73,30.47,41.41,0.39
13001,193,75,9,71,108,28.41,3.41,26.89,40.91,0.38
13001,194,51,6,88,143,17.53,2.06,30.24,49.14,1.03
13001,195,42,8,98,102,16.73,3.19,39.04,40.64,0.4
13001,2,20,4,49,123,10.2,2.04,25.0,62.76,0.0
13001,20,51,3,84,122,19.32,1.14,31.82,46.21,1.52
13001,21,62,5,76,130,22.55,1.82,27.64,47.27,0.73
13001,22,33,4,64,104,16.02,1.94,31.07,50.49,0.49
13001,23,59,5,82,152,19.47,1.65,27.06,50.17,1.65
13001,24,31,4,87,122,12.65,1.63,35.51,49.8,0.41
13001,25,50,4,115,126,16.56,1.32,38.08,41.72,2.32
13001,26,37,3,102,83,15.95,1.29,43.97,35.78,3.02
13001,27,27,3,52,50,19.71,2.19,37.96,36.5,3.65
13001,28,43,0,76,119,17.13,0.0,30.28,47.41,5.18
13001,29,69,5,114,111,22.92,1.66,37.87,36.88,0.66
13001,3,14,2,47,109,8.09,1.16,27.17,63.01,0.58
13001,30,38,7,116,122,13.38,2.46,40.85,42.96,0.35
13001,31,41,3,75,115,17.37,1.27,31.78,48.73,0.85
13001,32,29,3,99,83,13.55,1.4,46.26,38.79,0.0
13001,33,43,2,68,73,22.51,1.05,35.6,38.22,2.62
13001,34,50,9,130,61,20.0,3.6,52.0,24.4,0.0
13001,35,37,3,94,65,18.59,1.51,47.24,32.66,0.0
13001,36,23,5,41,72,16.2,3.52,28.87,50.7,0.7
13001,37,35,4,77,79,17.95,2.05,39.49,40.51,0.0
13001,38,17,0,44,67,13.28,0.0,34.38,52.34,0.0
13001,39,20,2,67,71,12.35,1.23,41.36,43.83,1.23
13001,4,46,7,48,108,22.01,3.35,22.97,51.67,0.0
