District,Polling Station Number,Conservative,Green Party,Liberal,NDP-New Democratic Party,Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%),Other (%)
13001.0,1,28,3,26,68,22.4,2.4,20.8,54.4,0.0
13001.0,10,36,5,35,127,17.73,2.46,17.24,62.56,0.0
13001.0,100,28,6,28,152,13.08,2.8,13.08,71.03,0.0
13001.0,101,29,5,58,120,13.68,2.36,27.36,56.6,0.0
13001.0,102,32,5,82,107,14.16,2.21,36.28,47.35,0.0
13001.0,103,26,4,70,87,13.9,2.14,37.43,46.52,0.0
13001.0,104,9,4,72,72,5.73,2.55,45.86,45.86,0.0
13001.0,105,24,3,60,74,14.91,1.86,37.27,45.96,0.0
13001.0,106,36,2,54,111,17.73,0.99,26.6,54.68,0.0
13001.0,107,25,2,43,114,13.59,1.09,23.37,61.96,0.0
13001.0,108,51,4,74,113,21.07,1.65,30.58,46.69,0.0
13001.0,109,32,5,70,120,14.1,2.2,30.84,52.86,0.0
13001.0,11,72,4,51,128,28.24,1.57,20.0,50.2,0.0
13001.0,110,25,6,27,86,17.36,4.17,18.75,59.72,0.0
13001.0,111,33,1,67,99,16.5,0.5,33.5,49.5,0.0
13001.0,112,8,1,35,104,5.41,0.68,23.65,70.27,0.0
13001.0,113,26,3,40,126,13.33,1.54,20.51,64.62,0.0
13001.0,114,20,1,28,98,13.61,0.68,19.05,66.67,0.0
13001.0,115,33,3,73,86,16.92,1.54,37.44,44.1,0.0
13001.0,116,18,0,63,100,9.94,0.0,34.81,55.25,0.0
13001.0,117,30,0,47,159,12.71,0.0,19.92,67.37,0.0
13001.0,118,24,4,20,56,23.08,3.85,19.23,53.85,0.0
13001.0,119,49,2,53,125,21.4,0.87,23.14,54.59,0.0
13001.0,12,53,7,53,115,23.25,3.07,23.25,50.44,0.0
13001.0,120,27,1,21,36,31.76,1.18,24.71,42.35,0.0
13001.0,121,47,4,63,122,19.92,1.69,26.69,51.69,0.0
13001.0,122,29,4,32,106,16.96,2.34,18.71,61.99,0.0
13001.0,123,20,2,46,131,10.05,1.01,23.12,65.83,0.0
13001.0,124,23,1,30,94,15.54,0.68,20.27,63.51,0.0
13001.0,125,28,1,42,127,14.14,0.51,21.21,64.14,0.0
13001.0,126,20,2,16,48,23.26,2.33,18.6,55.81,0.0
13001.0,127,21,4,20,97,14.79,2.82,14.08,68.31,0.0
13001.0,128,29,3,31,89,19.08,1.97,20.39,58.55,0.0
13001.0,129,32,1,29,90,21.05,0.66,19.08,59.21,0.0
13001.0,13,56,9,37,121,25.11,4.04,16.59,54.26,0.0
13001.0,130,38,1,32,80,25.17,0.66,21.19,52.98,0.0
13001.0,131,38,3,50,128,17.35,1.37,22.83,58.45,0.0
13001.0,132,52,4,23,81,32.5,2.5,14.37,50.62,0.0
13001.0,133,28,4,34,70,20.59,2.94,25.0,51.47,0.0
13001.0,134,46,6,40,119,21.8,2.84,18.96,56.4,0.0
13001.0,135,68,11,56,98,29.18,4.72,24.03,42.06,0.0
13001.0,136,32,2,26,52,28.57,1.79,23.21,46.43,0.0
13001.0,137,67,2,54,112,28.51,0.85,22.98,47.66,0.0
13001.0,138,31,1,56,82,18.24,0.59,32.94,48.24,0.0
13001.0,139,46,5,41,79,26.9,2.92,23.98,46.2,0.0
