Polling Station Number,Conservative,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Liberal (%),NDP-New Democratic Party (%)
1,21,27,110,158,13.29,17.09,69.62
10,29,18,160,207,14.01,8.7,77.29
100,28,16,190,234,11.97,6.84,81.2
101,28,32,151,211,13.27,15.17,71.56
102,25,60,168,253,9.88,23.72,66.4
103,17,45,148,210,8.1,21.43,70.48
104,9,57,105,171,5.26,33.33,61.4
105,9,57,94,160,5.62,35.62,58.75
106,25,50,164,239,10.46,20.92,68.62
107,19,26,142,187,10.16,13.9,75.94
108,21,76,122,219,9.59,34.7,55.71
109,22,44,136,202,10.89,21.78,67.33
11,27,39,184,250,10.8,15.6,73.6
110,15,32,105,152,9.87,21.05,69.08
111,23,59,115,197,11.68,29.95,58.38
112,10,28,112,150,6.67,18.67,74.67
113,14,39,128,181,7.73,21.55,70.72
114,11,18,121,150,7.33,12.0,80.67
115,28,34,119,181,15.47,18.78,65.75
116,7,35,135,177,3.95,19.77,76.27
117,43,30,159,232,18.53,12.93,68.53
118,23,14,53,90,25.56,15.56,58.89
119,39,26,119,184,21.2,14.13,64.67
12,33,25,136,194,17.01,12.89,70.1
120,26,8,49,83,31.33,9.64,59.04
121,44,27,180,251,17.53,10.76,71.71
122,15,7,122,144,10.42,4.86,84.72
123,17,17,118,152,11.18,11.18,77.63
124,22,5,104,131,16.79,3.82,79.39
125,10,15,127,152,6.58,9.87,83.55
126,10,9,50,69,14.49,13.04,72.46
127,12,3,110,125,9.6,2.4,88.0
128,15,12,96,123,12.2,9.76,78.05
129,28,9,122,159,17.61,5.66,76.73
13,25,28,156,209,11.96,13.4,74.64
130,14,9,113,136,10.29,6.62,83.09
131,25,17,157,199,12.56,8.54,78.89
132,31,4,122,157,19.75,2.55,77.71
133,23,10,108,141,16.31,7.09,76.6
134,29,4,137,170,17.06,2.35,80.59
135,62,22,135,219,28.31,10.05,61.64
136,14,10,80,104,13.46,9.62,76.92
137,35,18,158,211,16.59,8.53,74.88
138,25,23,88,136,18.38,16.91,64.71
139,30,16,98,144,20.83,11.11,68.06
14,30,37,132,199,15.08,18.59,66.33
140,30,37,124,191,15.71,19.37,64.92
141,23,35,160,218,10.55,16.06,73.39
142,14,21,92,127,11.02,16.54,72.44
143,35,22,72,129,27.13,17.05,55.81
144,27,26,83,136,19.85,19.12,61.03
145,32,8,74,114,28.07,7.02,64.91
146,12,10,148,170,7.06,5.88,87.06
147,13,11,101,125,10.4,8.8,80.8
148,13,12,121,146,8.9,8.22,82.88
149,21,29,135,185,11.35,15.68,72.97
15,32,32,157,221,14.48,14.48,71.04
150,23,32,223,278,8.27,11.51,80.22
151,15,9,116,140,10.71,6.43,82.86
152,8,9,144,161,4.97,5.59,89.44
153,44,22,156,222,19.82,9.91,70.27
154,63,31,85,179,35.2,17.32,47.49
155,22,12,100,134,16.42,8.96,74.63
156,22,23,140,185,11.89,12.43,75.68
157,26,21,149,196,13.27,10.71,76.02
158,26,35,202,263,9.89,13.31,76.81
159,16,20,183,219,7.31,9.13,83.56
16,19,20,114,153,12.42,13.07,74.51
160,21,32,177,230,9.13,13.91,76.96
161,13,22,289,324,4.01,6.79,89.2
162,8,10,89,107,7.48,9.35,83.18
163,14,36,106,156,8.97,23.08,67.95
164,11,24,179,214,5.14,11.21,83.64
165,10,15,189,214,4.67,7.01,88.32
166,27,20,132,179,15.08,11.17,73.74
167,7,18,105,130,5.38,13.85,80.77
