Polling Station Number,Conservative,Green Party,Independent,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Independent (%),Liberal (%),NDP-New Democratic Party (%)
1,150,8,1,55,67,281,53.38,2.85,0.36,19.57,23.84
1-1,83,4,0,41,35,163,50.92,2.45,0.0,25.15,21.47
10,79,7,0,42,26,154,51.3,4.55,0.0,27.27,16.88
100,107,17,3,78,65,270,39.63,6.3,1.11,28.89,24.07
101,110,2,1,50,61,224,49.11,0.89,0.45,22.32,27.23
101-1,74,9,0,52,47,182,40.66,4.95,0.0,28.57,25.82
102,109,6,1,56,84,256,42.58,2.34,0.39,21.88,32.81
103,136,7,1,60,61,265,51.32,2.64,0.38,22.64,23.02
104,97,5,0,34,53,189,51.32,2.65,0.0,17.99,28.04
105,122,6,0,70,71,269,45.35,2.23,0.0,26.02,26.39
106,107,9,0,44,44,204,52.45,4.41,0.0,21.57,21.57
107,104,8,1,26,55,194,53.61,4.12,0.52,13.4,28.35
108,70,5,2,18,24,119,58.82,4.2,1.68,15.13,20.17
108-1,143,13,3,69,67,295,48.47,4.41,1.02,23.39,22.71
108-2,72,2,0,15,23,112,64.29,1.79,0.0,13.39,20.54
108-3,83,9,0,41,64,197,42.13,4.57,0.0,20.81,32.49
108-4,160,13,0,47,68,288,55.56,4.51,0.0,16.32,23.61
109,54,2,1,14,29,100,54.0,2.0,1.0,14.0,29.0
11,67,8,1,38,39,153,43.79,5.23,0.65,24.84,25.49
110,67,2,1,14,19,103,65.05,1.94,0.97,13.59,18.45
111,83,3,2,14,31,133,62.41,2.26,1.5,10.53,23.31
112,86,1,5,28,29,149,57.72,0.67,3.36,18.79,19.46
113,69,4,1,18,30,122,56.56,3.28,0.82,14.75,24.59
114,34,0,1,11,17,63,53.97,0.0,1.59,17.46,26.98
115,40,1,2,11,18,72,55.56,1.39,2.78,15.28,25.0
116,60,0,1,10,21,92,65.22,0.0,1.09,10.87,22.83
