Polling Station Number,Conservative,Green Party,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%)
1,67,7,58,76,208,32.21,3.37,27.88,36.54
10,45,6,12,39,102,44.12,5.88,11.76,38.24
100,82,5,70,93,250,32.8,2.0,28.0,37.2
101,115,5,36,48,204,56.37,2.45,17.65,23.53
102,176,3,52,33,264,66.67,1.14,19.7,12.5
103,146,6,18,44,214,68.22,2.8,8.41,20.56
104,75,2,21,49,147,51.02,1.36,14.29,33.33
105,190,7,47,37,281,67.62,2.49,16.73,13.17
106,86,2,23,30,141,60.99,1.42,16.31,21.28
107,78,5,21,37,141,55.32,3.55,14.89,26.24
108,124,4,60,62,250,49.6,1.6,24.0,24.8
109,23,2,25,9,59,38.98,3.39,42.37,15.25
11,80,3,23,40,146,54.79,2.05,15.75,27.4
110,99,7,71,41,218,45.41,3.21,32.57,18.81
111,43,1,29,12,85,50.59,1.18,34.12,14.12
112,89,4,36,36,165,53.94,2.42,21.82,21.82
113,121,17,98,84,320,37.81,5.31,30.63,26.25
114,0,0,0,0,0,,,,
115,134,3,29,13,179,74.86,1.68,16.2,7.26
116,105,2,22,15,144,72.92,1.39,15.28,10.42
117,91,4,27,46,168,54.17,2.38,16.07,27.38
118,113,5,33,32,183,61.75,2.73,18.03,17.49
119,59,2,14,13,88,67.05,2.27,15.91,14.77
12,100,7,28,31,166,60.24,4.22,16.87,18.67
120,86,2,31,25,144,59.72,1.39,21.53,17.36
121,55,3,9,27,94,58.51,3.19,9.57,28.72
122,63,2,12,40,117,53.85,1.71,10.26,34.19
123,57,3,15,10,85,67.06,3.53,17.65,11.76
124,135,3,50,38,226,59.73,1.33,22.12,16.81
125,97,4,70,32,203,47.78,1.97,34.48,15.76
126,72,2,35,20,129,55.81,1.55,27.13,15.5
127,103,3,23,14,143,72.03,2.1,16.08,9.79
128,76,0,6,13,95,80.0,0.0,6.32,13.68
129,159,3,31,23,216,73.61,1.39,14.35,10.65
13,175,4,37,70,286,61.19,1.4,12.94,24.48
130,175,5,29,71,280,62.5,1.79,10.36,25.36
131,100,2,31,34,167,59.88,1.2,18.56,20.36
14,89,1,13,24,127,70.08,0.79,10.24,18.9
15,110,3,20,23,156,70.51,1.92,12.82,14.74
16,116,2,22,29,169,68.64,1.18,13.02,17.16
17,75,3,31,30,139,53.96,2.16,22.3,21.58
18,40,5,80,64,189,21.16,2.65,42.33,33.86
19,134,3,52,84,273,49.08,1.1,19.05,30.77
2,22,2,27,40,91,24.18,2.2,29.67,43.96
20,83,2,21,29,135,61.48,1.48,15.56,21.48
21,39,1,34,65,139,28.06,0.72,24.46,46.76
21-1,53,3,48,66,170,31.18,1.76,28.24,38.82
22,128,3,38,31,200,64.0,1.5,19.0,15.5
23,62,4,28,33,127,48.82,3.15,22.05,25.98
24,90,5,78,89,262,34.35,1.91,29.77,33.97
25,101,2,50,44,197,51.27,1.02,25.38,22.34
26,78,6,67,97,248,31.45,2.42,27.02,39.11
26-1,36,2,23,45,106,33.96,1.89,21.7,42.45
27,186,2,41,59,288,64.58,0.69,14.24,20.49
28,75,4,51,99,229,32.75,1.75,22.27,43.23
29,51,8,58,101,218,23.39,3.67,26.61,46.33
3,39,2,30,65,136,28.68,1.47,22.06,47.79
30,40,5,86,112,243,16.46,2.06,35.39,46.09
31,26,3,41,73,143,18.18,2.1,28.67,51.05
32,38,7,71,73,189,20.11,3.7,37.57,38.62
33,60,5,45,129,239,25.1,2.09,18.83,53.97
33-1,33,1,27,86,147,22.45,0.68,18.37,58.5
34,63,3,35,63,164,38.41,1.83,21.34,38.41
34-1,63,3,19,31,116,54.31,2.59,16.38,26.72
35,49,6,64,35,154,31.82,3.9,41.56,22.73
36,65,2,56,43,166,39.16,1.2,33.73,25.9
37,65,7,75,87,234,27.78,2.99,32.05,37.18
38,70,7,76,70,223,31.39,3.14,34.08,31.39
39,72,5,27,29,133,54.14,3.76,20.3,21.8
4,58,14,24,46,142,40.85,9.86,16.9,32.39
40,126,2,26,38,192,65.62,1.04,13.54,19.79
41,71,3,37,24,135,52.59,2.22,27.41,17.78
42,48,4,33,40,125,38.4,3.2,26.4,32.0
43,86,6,31,41,164,52.44,3.66,18.9,25.0
44,82,3,31,35,151,54.3,1.99,20.53,23.18
45,72,4,41,26,143,50.35,2.8,28.67,18.18
46,205,1,51,46,303,67.66,0.33,16.83,15.18
47,107,9,37,40,193,55.44,4.66,19.17,20.73
48,112,3,55,47,217,51.61,1.38,25.35,21.66
49,0,0,0,0,0,,,,
5,33,2,30,49,114,28.95,1.75,26.32,42.98
50,121,2,60,54,237,51.05,0.84,25.32,22.78
500,30,2,27,5,64,46.88,3.12,42.19,7.81
501,52,5,39,14,110,47.27,4.55,35.45,12.73
502,17,3,40,9,69,24.64,4.35,57.97,13.04
51,59,5,53,29,146,40.41,3.42,36.3,19.86
52,87,8,24,27,146,59.59,5.48,16.44,18.49
53,168,8,34,51,261,64.37,3.07,13.03,19.54
54,152,6,86,75,319,47.65,1.88,26.96,23.51
55,144,3,40,42,229,62.88,1.31,17.47,18.34
56,188,14,57,61,320,58.75,4.38,17.81,19.06
57,114,4,28,54,200,57.0,2.0,14.0,27.0
57-1,76,3,13,19,111,68.47,2.7,11.71,17.12
58,105,6,28,51,190,55.26,3.16,14.74,26.84
59,159,7,48,44,258,61.63,2.71,18.6,17.05
6,59,11,28,100,198,29.8,5.56,14.14,50.51
60,108,6,43,43,200,54.0,3.0,21.5,21.5
600,147,9,99,93,348,42.24,2.59,28.45,26.72
601,362,4,98,52,516,70.16,0.78,18.99,10.08
602,142,3,65,46,256,55.47,1.17,25.39,17.97
603,209,5,83,60,357,58.54,1.4,23.25,16.81
604,422,15,163,99,699,60.37,2.15,23.32,14.16
605,476,19,211,105,811,58.69,2.34,26.02,12.95
606,233,6,83,34,356,65.45,1.69,23.31,9.55
607,154,7,132,42,335,45.97,2.09,39.4,12.54
608,193,6,72,41,312,61.86,1.92,23.08,13.14
609,202,17,127,88,434,46.54,3.92,29.26,20.28
61,150,12,49,69,280,53.57,4.29,17.5,24.64
610,297,1,59,28,385,77.14,0.26,15.32,7.27
611,145,6,140,130,421,34.44,1.43,33.25,30.88
62,0,0,0,0,0,,,,
63,114,5,29,45,193,59.07,2.59,15.03,23.32
64,175,5,37,60,277,63.18,1.81,13.36,21.66
65,122,9,41,37,209,58.37,4.31,19.62,17.7
66,139,2,36,39,216,64.35,0.93,16.67,18.06
67,71,5,37,29,142,50.0,3.52,26.06,20.42
68,91,5,37,62,195,46.67,2.56,18.97,31.79
69,83,2,15,17,117,70.94,1.71,12.82,14.53
7,40,7,30,58,135,29.63,5.19,22.22,42.96
70,40,2,11,24,77,51.95,2.6,14.29,31.17
71,56,7,17,21,101,55.45,6.93,16.83,20.79
72,80,5,44,39,168,47.62,2.98,26.19,23.21
73,97,6,38,52,193,50.26,3.11,19.69,26.94
74,73,7,34,35,149,48.99,4.7,22.82,23.49
75,98,7,33,52,190,51.58,3.68,17.37,27.37
76,166,8,29,34,237,70.04,3.38,12.24,14.35
77,213,9,59,72,353,60.34,2.55,16.71,20.4
78,110,4,27,40,181,60.77,2.21,14.92,22.1
79,122,8,37,31,198,61.62,4.04,18.69,15.66
8,42,5,25,82,154,27.27,3.25,16.23,53.25
80,181,8,45,57,291,62.2,2.75,15.46,19.59
81,138,1,39,16,194,71.13,0.52,20.1,8.25
82,75,2,21,10,108,69.44,1.85,19.44,9.26
83,36,7,65,47,155,23.23,4.52,41.94,30.32
84,104,5,48,64,221,47.06,2.26,21.72,28.96
85,198,8,35,45,286,69.23,2.8,12.24,15.73
86,141,3,34,32,210,67.14,1.43,16.19,15.24
86-1,54,4,11,27,96,56.25,4.17,11.46,28.12
87,51,1,22,20,94,54.26,1.06,23.4,21.28
88,164,5,30,64,263,62.36,1.9,11.41,24.33
89,96,7,29,42,174,55.17,4.02,16.67,24.14
9,67,5,33,68,173,38.73,2.89,19.08,39.31
90,68,2,22,26,118,57.63,1.69,18.64,22.03
91,108,2,40,34,184,58.7,1.09,21.74,18.48
92,67,1,62,62,192,34.9,0.52,32.29,32.29
93,42,10,27,46,125,33.6,8.0,21.6,36.8
94,107,8,52,56,223,47.98,3.59,23.32,25.11
95,51,4,37,45,137,37.23,2.92,27.01,32.85
96,81,5,47,53,186,43.55,2.69,25.27,28.49
97,50,2,20,48,120,41.67,1.67,16.67,40.0
98,54,4,33,35,126,42.86,3.17,26.19,27.78
99,46,3,37,31,117,39.32,2.56,31.62,26.5
S/R 1,68,2,33,7,110,61.82,1.82,30.0,6.36
S/R 2,517,12,271,51,851,60.75,1.41,31.84,5.99
