Polling Station Number,CHP Canada,Conservative,Green Party,Liberal,NDP-New Democratic Party,Vote Totals,CHP Canada (%),Conservative (%),Green Party (%),Liberal (%),NDP-New Democratic Party (%)
1,3,16,2,10,30,61,4.92,26.23,3.28,16.39,49.18
10,1,102,8,45,66,222,0.45,45.95,3.6,20.27,29.73
10-1,2,88,6,32,58,186,1.08,47.31,3.23,17.2,31.18
100,2,74,2,18,21,117,1.71,63.25,1.71,15.38,17.95
101,3,164,14,32,55,268,1.12,61.19,5.22,11.94,20.52
102,2,77,7,12,25,123,1.63,62.6,5.69,9.76,20.33
103,0,76,6,18,36,136,0.0,55.88,4.41,13.24,26.47
104,7,140,11,18,35,211,3.32,66.35,5.21,8.53,16.59
105,3,125,7,14,38,187,1.6,66.84,3.74,7.49,20.32
106,2,146,3,20,43,214,0.93,68.22,1.4,9.35,20.09
107,3,77,5,18,40,143,2.1,53.85,3.5,12.59,27.97
108,5,54,11,14,50,134,3.73,40.3,8.21,10.45,37.31
109,4,55,7,20,26,112,3.57,49.11,6.25,17.86,23.21
11,1,133,17,27,72,250,0.4,53.2,6.8,10.8,28.8
110,1,59,6,5,32,103,0.97,57.28,5.83,4.85,31.07
111,4,90,12,11,28,145,2.76,62.07,8.28,7.59,19.31
112,2,66,8,7,28,111,1.8,59.46,7.21,6.31,25.23
113,4,88,16,24,41,173,2.31,50.87,9.25,13.87,23.7
114,7,78,11,21,27,144,4.86,54.17,7.64,14.58,18.75
115,8,79,13,24,36,160,5.0,49.38,8.12,15.0,22.5
116,4,71,6,15,27,123,3.25,57.72,4.88,12.2,21.95
117,4,74,11,24,44,157,2.55,47.13,7.01,15.29,28.03
118,5,95,18,21,36,175,2.86,54.29,10.29,12.0,20.57
119,7,115,21,33,54,230,3.04,50.0,9.13,14.35,23.48
12,6,66,18,24,56,170,3.53,38.82,10.59,14.12,32.94
120,9,129,24,14,45,221,4.07,58.37,10.86,6.33,20.36
121,2,62,5,17,44,130,1.54,47.69,3.85,13.08,33.85
122,1,122,19,35,59,236,0.42,51.69,8.05,14.83,25.0
123,1,102,33,32,47,215,0.47,47.44,15.35,14.88,21.86
124,2,96,34,39,47,218,0.92,44.04,15.6,17.89,21.56
125,2,101,35,31,52,221,0.9,45.7,15.84,14.03,23.53
126,2,95,34,47,72,250,0.8,38.0,13.6,18.8,28.8
127,0,92,40,36,53,221,0.0,41.63,18.1,16.29,23.98
128,2,85,7,7,30,131,1.53,64.89,5.34,5.34,22.9
129,0,72,6,15,24,117,0.0,61.54,5.13,12.82,20.51
13,1,167,14,43,92,317,0.32,52.68,4.42,13.56,29.02
130,2,80,8,9,21,120,1.67,66.67,6.67,7.5,17.5
131,0,63,4,3,15,85,0.0,74.12,4.71,3.53,17.65
132,0,84,7,8,12,111,0.0,75.68,6.31,7.21,10.81
133,1,98,25,21,65,210,0.48,46.67,11.9,10.0,30.95
134,1,104,9,5,58,177,0.56,58.76,5.08,2.82,32.77
135,0,84,9,15,34,142,0.0,59.15,6.34,10.56,23.94
136,1,100,17,20,30,168,0.6,59.52,10.12,11.9,17.86
137,0,92,18,25,36,171,0.0,53.8,10.53,14.62,21.05
138,1,64,1,8,10,84,1.19,76.19,1.19,9.52,11.9
14,3,129,7,22,56,217,1.38,59.45,3.23,10.14,25.81
15,0,126,7,12,41,186,0.0,67.74,3.76,6.45,22.04
16,2,98,5,21,54,180,1.11,54.44,2.78,11.67,30.0
17,6,99,1,18,24,148,4.05,66.89,0.68,12.16,16.22
18,4,70,3,13,28,118,3.39,59.32,2.54,11.02,23.73
19,8,85,1,4,12,110,7.27,77.27,0.91,3.64,10.91
2,2,108,15,26,51,202,0.99,53.47,7.43,12.87,25.25
20,13,72,1,5,17,108,12.04,66.67,0.93,4.63,15.74
